A;B;Customers
Start;AUM  + 01;735978
Start;ATM_Trans_Days  + 01;587425
Start;ATM_Trans_Days  - 01;585812
Start;AUM  - 01;585297
Start;Card_Purchases  + 01;569592
Start;CSI  + 01;534806
Start;Card_Purchases  - 01;508330
Start;Branch_Transaction_Days  + 01;458152
Start;Branch_Transaction_Days  - 01;419924
Start;CSI  - 01;414244
Start;Public_Sector_Payments  + 01;405027
Start;Total_Loan_Balances  + 01;342252
Start;Tax_Payments  + 01;339377
Start;Salary  + 01;332555
Start;Remmitances_In  + 01;320486
Start;Remmitances_Out  + 01;311341
Start;EBanking_Usage  + 01;298656
Start;Total_Loan_Balances  - 01;282527
Start;Salary  - 01;266687
Start;Public_Sector_Payments  - 01;245093
Start;Remmitances_In  - 01;241270
Start;Tax_Payments  - 01;238008
Start;Remmitances_Out  - 01;217354
AUM  + 01;AUM  - 02;205162
AUM  + 02;AUM  - 03;171369
AUM  - 01;AUM  + 02;170000
AUM  - 02;AUM  + 03;169325
AUM  + 03;AUM  - 04;160121
AUM  + 01;AUM  + 02;159986
AUM  + 04;AUM  - 05;153939
AUM  - 03;AUM  + 04;152376
Card_Purchases  + 01;Card_Purchases  + 02;147763
AUM  + 05;AUM  - 06;142564
ATM_Trans_Days  + 01;Card_Purchases  + 02;140979
AUM  + 01;Card_Purchases  + 02;137193
ATM_Trans_Days  + 01;ATM_Trans_Days  + 02;136356
AUM  - 04;AUM  + 05;136063
Card_Purchases  + 01;ATM_Trans_Days  + 02;133693
AUM  - 05;AUM  + 06;132710
ATM_Trans_Days  + 01;AUM  + 02;132245
AUM  + 01;ATM_Trans_Days  + 02;129245
CSI  + 01;Card_Purchases  + 02;128974
Card_Purchases  + 01;AUM  + 02;127910
CSI  + 01;AUM  + 02;127571
Start;EBanking_Usage  - 01;126157
AUM  - 06;AUM  + 07;125755
Card_Purchases  + 02;Card_Purchases  + 03;124003
AUM  + 06;AUM  - 07;121427
Start;Debit_Cards_Prepaid_Cards  + 01;119659
Branch_Transaction_Days  + 01;AUM  + 02;118149
ATM_Trans_Days  + 02;ATM_Trans_Days  + 03;117010
Card_Purchases  + 02;ATM_Trans_Days  + 03;111713
ATM_Trans_Days  - 01;ATM_Trans_Days  - 02;111517
ATM_Trans_Days  - 01;ATM_Trans_Days  + 02;111007
AUM  + 07;AUM  - 08;109894
ATM_Trans_Days  + 02;Card_Purchases  + 03;109882
Card_Purchases  + 03;Card_Purchases  + 04;108232
CSI  + 01;ATM_Trans_Days  + 02;107869
ATM_Trans_Days  + 03;ATM_Trans_Days  + 04;107392
Public_Sector_Payments  + 01;AUM  + 02;104175
AUM  + 01;CSI  + 02;104126
Card_Purchases  + 03;ATM_Trans_Days  + 04;103425
AUM  - 07;AUM  + 08;103106
ATM_Trans_Days  + 03;Card_Purchases  + 04;102199
Salary  + 01;AUM  + 02;100687
EBanking_Usage  + 01;Card_Purchases  + 02;100289
CSI  + 01;CSI  + 02;99733
AUM  + 02;Card_Purchases  + 03;98742
ATM_Trans_Days  + 01;CSI  + 02;98720
Branch_Transaction_Days  + 01;Card_Purchases  + 02;98548
ATM_Trans_Days  - 02;ATM_Trans_Days  + 03;98149
ATM_Trans_Days  - 02;ATM_Trans_Days  - 03;96925
Total_Loan_Balances  + 01;AUM  + 02;96350
Tax_Payments  + 01;AUM  + 02;95917
ATM_Trans_Days  + 04;ATM_Trans_Days  + 05;95574
AUM  + 02;ATM_Trans_Days  + 03;94368
Card_Purchases  + 04;ATM_Trans_Days  + 05;93695
ATM_Trans_Days  + 01;ATM_Trans_Days  - 02;93667
Card_Purchases  + 01;CSI  + 02;93542
ATM_Trans_Days  - 03;ATM_Trans_Days  + 04;93065
CSI  - 01;CSI  + 02;92270
Remmitances_Out  + 01;AUM  + 02;91594
ATM_Trans_Days  - 01;Card_Purchases  - 02;91358
Card_Purchases  - 01;Card_Purchases  + 02;91256
AUM  + 02;AUM  + 03;91051
Branch_Transaction_Days  + 01;CSI  + 02;90851
Salary  + 01;Card_Purchases  + 02;90847
Remmitances_In  + 01;AUM  + 02;90231
EBanking_Usage  + 01;AUM  + 02;89584
Card_Purchases  + 04;Card_Purchases  + 05;89068
Public_Sector_Payments  + 01;Card_Purchases  + 02;88809
AUM  - 08;AUM  + 09;88626
ATM_Trans_Days  + 04;Card_Purchases  + 05;88000
ATM_Trans_Days  + 01;AUM  - 02;87953
AUM  - 01;AUM  - 02;87275
Total_Loan_Balances  + 01;Card_Purchases  + 02;86531
Branch_Transaction_Days  + 01;ATM_Trans_Days  + 02;86342
ATM_Trans_Days  + 05;ATM_Trans_Days  + 06;85696
Tax_Payments  + 01;Card_Purchases  + 02;85052
Card_Purchases  + 01;AUM  - 02;84715
Public_Sector_Payments  + 01;CSI  + 02;84630
ATM_Trans_Days  - 04;ATM_Trans_Days  + 05;84595
CSI  + 02;Card_Purchases  + 03;83533
AUM  + 08;AUM  - 09;82655
EBanking_Usage  + 01;ATM_Trans_Days  + 02;82542
Salary  + 01;CSI  + 02;82437
Total_Loan_Balances  + 01;CSI  + 02;81904
Card_Purchases  - 02;Card_Purchases  + 03;81666
Tax_Payments  + 01;CSI  + 02;81276
Remmitances_In  + 01;Card_Purchases  + 02;81146
Remmitances_Out  + 01;Card_Purchases  + 02;81060
Card_Purchases  + 05;ATM_Trans_Days  + 06;80808
Card_Purchases  - 01;Card_Purchases  - 02;80724
ATM_Trans_Days  - 01;AUM  + 02;80456
ATM_Trans_Days  + 04;AUM  - 05;80214
Remmitances_In  + 01;CSI  + 02;80121
Card_Purchases  - 01;ATM_Trans_Days  - 02;79992
ATM_Trans_Days  + 02;ATM_Trans_Days  - 03;79629
Remmitances_Out  + 01;CSI  + 02;79501
AUM  - 02;AUM  - 03;79323
ATM_Trans_Days  - 03;ATM_Trans_Days  - 04;79079
ATM_Trans_Days  + 05;AUM  - 06;79037
Public_Sector_Payments  + 01;ATM_Trans_Days  + 02;78458
ATM_Trans_Days  + 02;AUM  - 03;78410
Salary  + 01;ATM_Trans_Days  + 02;78340
ATM_Trans_Days  + 03;AUM  - 04;77421
ATM_Trans_Days  - 02;Card_Purchases  - 03;76907
ATM_Trans_Days  + 05;Card_Purchases  + 06;75906
Card_Purchases  + 04;AUM  - 05;75161
AUM  + 01;ATM_Trans_Days  - 02;75038
AUM  + 03;Card_Purchases  + 04;74824
Total_Loan_Balances  + 01;ATM_Trans_Days  + 02;74523
AUM  + 03;ATM_Trans_Days  + 04;74013
Tax_Payments  + 01;ATM_Trans_Days  + 02;73387
Card_Purchases  - 02;ATM_Trans_Days  - 03;72519
Card_Purchases  - 03;Card_Purchases  + 04;72494
Card_Purchases  + 03;AUM  - 04;72478
Card_Purchases  + 02;AUM  - 03;72331
ATM_Trans_Days  + 03;ATM_Trans_Days  - 04;72161
EBanking_Usage  + 01;CSI  + 02;72160
Card_Purchases  + 05;Card_Purchases  + 06;71897
CSI  - 02;CSI  + 03;71688
Card_Purchases  + 05;AUM  - 06;70929
AUM  - 01;ATM_Trans_Days  + 02;70511
ATM_Trans_Days  - 05;ATM_Trans_Days  + 06;70382
AUM  + 03;AUM  + 04;70144
ATM_Trans_Days  - 01;Card_Purchases  + 02;70048
ATM_Trans_Days  + 06;ATM_Trans_Days  + 07;69753
Remmitances_In  + 01;ATM_Trans_Days  + 02;69644
Card_Purchases  - 02;Card_Purchases  - 03;69225
Remmitances_Out  + 01;ATM_Trans_Days  + 02;69124
CSI  + 02;ATM_Trans_Days  + 03;68925
AUM  - 03;AUM  - 04;68460
ATM_Trans_Days  + 04;ATM_Trans_Days  - 05;67559
Branch_Transaction_Days  - 01;Branch_Transaction_Days  + 02;67532
ATM_Trans_Days  + 06;AUM  - 07;67388
AUM  - 05;AUM  - 06;67238
Start;Debit_Cards_Prepaid_Cards  - 01;67214
Card_Purchases  - 01;AUM  + 02;66962
AUM  - 09;AUM  + 10;66657
AUM  - 04;AUM  - 05;66453
AUM  + 04;ATM_Trans_Days  + 05;66445
Card_Purchases  - 01;ATM_Trans_Days  + 02;66133
ATM_Trans_Days  + 02;AUM  + 03;65111
ATM_Trans_Days  - 02;AUM  + 03;64652
ATM_Trans_Days  - 03;Card_Purchases  - 04;64470
AUM  - 02;ATM_Trans_Days  + 03;64368
Card_Purchases  + 06;ATM_Trans_Days  + 07;64028
AUM  + 04;Card_Purchases  + 05;63781
ATM_Trans_Days  + 05;ATM_Trans_Days  - 06;63283
CSI  + 01;CSI  - 02;62923
AUM  - 06;AUM  - 07;62518
AUM  - 01;ATM_Trans_Days  - 02;62342
Card_Purchases  + 01;Card_Purchases  - 02;62059
AUM  - 02;ATM_Trans_Days  - 03;61965
AUM  + 01;EBanking_Usage  + 02;61897
Card_Purchases  + 02;AUM  + 03;61842
AUM  - 01;Card_Purchases  + 02;60932
ATM_Trans_Days  + 06;Card_Purchases  + 07;60850
ATM_Trans_Days  - 04;ATM_Trans_Days  - 05;60448
CSI  - 03;CSI  + 04;60359
Debit_Cards_Prepaid_Cards  + 01;Card_Purchases  + 02;60206
Card_Purchases  - 04;Card_Purchases  + 05;59761
AUM  - 03;ATM_Trans_Days  + 04;59640
AUM  + 04;AUM  + 05;59581
ATM_Trans_Days  - 06;ATM_Trans_Days  + 07;59183
Card_Purchases  + 06;AUM  - 07;59151
ATM_Trans_Days  - 03;AUM  + 04;59108
ATM_Trans_Days  + 03;AUM  + 04;59022
Card_Purchases  + 01;ATM_Trans_Days  - 02;58503
AUM  + 01;Card_Purchases  - 02;58438
Branch_Transaction_Days  + 01;AUM  - 02;58427
ATM_Trans_Days  + 07;AUM  - 08;58420
CSI  + 01;Debit_Cards_Prepaid_Cards  + 02;58280
ATM_Trans_Days  - 02;Card_Purchases  + 03;57956
Card_Purchases  - 03;ATM_Trans_Days  - 04;57650
AUM  + 01;Debit_Cards_Prepaid_Cards  + 02;57617
CSI  + 02;AUM  + 03;57602
Card_Purchases  + 01;EBanking_Usage  + 02;57479
Debit_Cards_Prepaid_Cards  + 02;Card_Purchases  + 03;57086
ATM_Trans_Days  - 01;AUM  - 02;56932
ATM_Trans_Days  + 01;Debit_Cards_Prepaid_Cards  + 02;56864
Branch_Transaction_Days  - 01;AUM  + 02;56779
AUM  + 05;ATM_Trans_Days  + 06;56549
AUM  - 05;ATM_Trans_Days  + 06;56530
AUM  - 04;ATM_Trans_Days  + 05;56143
ATM_Trans_Days  + 06;ATM_Trans_Days  - 07;55758
CSI  + 01;AUM  - 02;55580
Start;Active_GS  + 01;55255
ATM_Trans_Days  + 01;EBanking_Usage  + 02;54961
AUM  - 02;Card_Purchases  + 03;54574
Card_Purchases  - 03;Card_Purchases  - 04;54503
Start;Active_Payroll_Pension  + 01;54316
Card_Purchases  - 02;ATM_Trans_Days  + 03;54248
Card_Purchases  + 06;Card_Purchases  + 07;54207
Card_Purchases  - 02;AUM  + 03;54179
