id,token
1,χρονος
2,χρονος
3,χρονος
4,λογαριασμος
4,υπηρεσια
6,αποτελεσμα
7,σας
7,συστημα
8,σας
8,συστημα
9,απαντησουνε
9,μας
9,στο
9,συντομο
10,αλλες
10,αλλο
10,αρχη
10,βγαζω
10,γνωριζω
10,δοση
10,ενα
10,ενταξει
10,καποιες
10,λογιστηριο
10,πιστωτικη
10,σας
10,στιγμης
10,τι
11,αυτο
11,θεμα
11,ιμπανκινγκ
11,μια
11,μπορεσαμε
11,μπω
11,οποιο
11,οτι
11,ουρα
11,παιδι
11,παω
11,που
11,πρεπει
11,προσπαθησε
11,στην
11,στο
11,τηλεφωνο
11,τραπεζα
12,ηλεκτρονικα
12,ραντεβου
13,διαδικασια
13,σας
13,τις
14,απαντησεις
14,κεντρο
14,στο
14,τηλεφωνο
14,τις
15,μια
15,ολα
15,τιποτα
15,χαρα
16,νομιζω
16,ολα
16,τελεια
16,τιποτα
17,τιποτα
18,τιποτα
19,τιποτα
20,τιποτα
21,τιποτα
22,τιποτα
23,εγω
23,σας
23,τι
23,τωρα
24,γνωση
24,εξυπηρετηση
24,καλυτερη
24,υπαλληλος
25,εε
25,επιμονη
25,υπαλληλος
25,φαση
26,απλη
26,εξυπηρετηση
26,σας
27,ανθρωπινη
27,πελατης
27,σας
27,σχεση
27,τους
28,αναμονη
29,εξυπηρετηση
29,τηλεφωνικα
30,εξυπηρετηση
30,τηλεφωνικη
31,εφαρμογη
31,λειτουργια
31,τη
32,αναγνωριση
32,γρηγορη
32,στοιχεια
32,τη
33,γραφειοκρατια
33,τη
34,αλλος
34,εξυπηρετηση
34,μια
34,μπορεις
34,περιμενεις
34,ταχυτερη
34,χρεωσε
34,ωρα
35,γραφειοκρατια
35,εξυπηρετηση
35,μεγαλη
35,οχι
35,ταχυτερη
36,εξυπηρετηση
36,ταχυτερη
37,εξυπηρετηση
37,ταχυτερη
38,απο
38,αυτο
38,εγω
38,εε
38,ειμαι
38,εξι
38,ευρω
38,καρτα
38,μαλλον
38,μισθοδοτουμενος
38,προΙοντα
38,σας
38,τραπεζα
38,χρεωνετε
39,αλλες
39,εσεις
39,εχετε
39,μηχανηματα
39,μικρες
39,πιστωτικη
39,πληρωνουμε
39,πολυς
39,που
39,συναλλαγη
40,απο
40,ενα
40,καταστημα
40,οτι
40,οχι
40,περικοπες
40,πιο
41,ανεκτικοι
41,δανειο
41,ευκολα
41,μην
41,πελατης
41,πιο
41,στους
41,τοσο
41,χρονος
42,επικοινωνια
42,πελατης
42,πιο
42,συνεργαζομαι
42,τους
42,ωρα
43,ειμαι
43,ειμαστε
43,εξυπηρετει
43,καρτα
43,ληξη
43,ληξιπροθεσμη
43,οταν
43,πελατης
43,πληρωνουμε
43,ποτε
43,πρεπει
43,στα
43,στη
43,στο
43,συστημα
43,τυπικοι
43,χρεωσεων
44,εξυπηρετηση
44,στην
45,ανταποκριση
45,σας
45,στην
46,ηχητικα
46,μας
46,μηνυματα
46,μπερδευουνε
46,στα
47,εδω
47,εκκρεμοτητα
47,καμια
47,καρτα
47,κορη
47,λεφτα
47,λογαριασμος
47,μπορει
47,οτι
47,περιφερειακα
47,προηγουμενος
47,πως
47,σας
47,στη
47,συναδελφος
47,συνδεσα
47,συρο
47,ταλαιπωρουμαι
47,τεσσερις
47,τωρα
48,μετοχες
48,πωληση
49,ιμπανκινγκ
49,κατι
49,πιο
49,που
49,πρεπει
49,στο
49,συναλλαγη
49,συνεννοηθουμε
50,αιτημα
50,αλλαγη
50,αλλαζουμε
50,απο
50,ειμαι
50,ερχομαστε
50,εχουν
50,ιδιο
50,καταρχην
50,παμε
50,που
50,στα
50,υποκαταστηματα
51,απαντησεις
51,πιστωτικη
52,πιο
52,προσωπικο
53,αναμονη
53,εε
53,μην
53,πελατης
53,πιο
53,πολλους
53,στην
53,τοση
53,τοσο
53,ωρα
54,ανθρωπους
54,εξοικειωμενοι
54,ηλεκτρονικα
54,κατανοητα
54,πιο
54,που
54,τους
55,ευκολα
55,πιο
56,γρηγορη
56,επικοινωνια
56,πιο
57,γρηγορη
57,εξυπηρετηση
57,πιο
57,τηλεφωνικη
58,γρηγορη
58,εξυπηρετηση
58,πιο
59,γρηγορη
59,εξυπηρετηση
59,πιο
60,εκπροσωποι
60,περισσοτεροι
61,απο
61,περισσοτερη
61,πληροφορια
61,τηλεφωνο
62,εξυπηρετηση
62,επιλογη
62,επισκεφτω
62,καταστημα
62,τραπεζα
62,χωρις
63,απο
63,γραφεται
63,δελτιο
63,εξυπηρετηση
63,επιλογη
63,ζητησε
63,καποιος
63,λοιπα
63,μια
63,οποια
63,οταν
63,πληροφοριακα
63,που
63,στελνωντας
63,στο
63,συστηματα
63,σχεση
63,τηλεφωνικη
63,τις
64,ανταποκριση
64,μπανκινγκ
64,ορισμενες
64,ταχυτερη
64,τελεφοουν
65,αντιμετωπιση
65,απαντησεις
65,γραμμη
65,εξυπηρετηση
65,καταρτισμενοι
65,μια
65,μπορουν
65,οι
65,πιο
65,που
65,προβλημα
65,υπαλληλοι
66,απαντησεις
66,αυτοματες
66,οι
67,εξυπηρετηση
67,χρονος
68,γιουροφοουν
68,μπανκινγκ
68,στο
68,χρονος
69,αυτα
69,ιμειλ
69,λετε
69,οταν
69,που
69,σηκωνετε
69,στελνετε
69,τηλεφωνο
69,τηρειται
70,δουλεια
71,αυτο
71,εχετε
71,παμε
71,στην
71,τραπεζα
71,υπαλληλος
72,επικοινωνια
72,οχι
72,πυλες
72,τους
72,υπαλληλος
72,φωνητικες
73,εξυπηρετουμε
73,καταστημα
73,οχι
73,πηγαινω
73,πρεπει
73,στο
73,τηλεφωνικα
74,αμεσα
74,απο
74,γινοταν
74,επικοινωνια
74,καποια
74,λυνουμε
74,προβλημα
74,ταυτοποιησης
74,τηλεφωνικη
74,τιποτα
75,δεχεστε
75,ερχομαι
75,ιμειλ
75,μπορειτε
75,οχι
