id,token
1,αναμονης
1,χρονος
1,χρονος αναμονης
2,αναμονης
2,χρονος
2,χρονος αναμονης
3,χρονος
4,λογαριασμων
4,υπηρεσιες
6,αποτελεσμα
6,τελικο
7,συστημα
8,συστημα
9,απαντησουνε
9,συντομο
9,συντομοτερο
10,γνωριζω
10,δοσεις
10,ενταξει
10,κανουν
10,λογιστηριο
10,στιγμης
10,υπαρχει
11,ebanking
11,κανουμε
11,μπορεσαμε
11,προσπαθησε
11,τηλεφωνο
11,τραπεζα
12,ηλεκτρονικο
12,ραντεβου
13,διαδικασιες
14,απαντησεις
14,κεντρο
14,τηλεφωνο
16,νομιζω
16,τελεια
23,χρειαστηκε
24,εξυπηρετηση
24,καλυτερη
24,υπαλληλος
25,επιμονη
25,υπαλληλος
26,εξυπηρετηση
27,ανθρωπινη
27,πελατες
28,αναμονης
29,εξυπηρετηση
29,τηλεφωνο
30,εξυπηρετηση
30,τηλεφωνο
30,τηλεφωνο εξυπηρετηση
31,εφαρμογης
31,λειτουργια
32,αναγνωριση
32,γρηγορη
32,στοιχειων
33,γραφειοκρατια
34,εξυπηρετηση
34,μπορεις
34,περιμενεις
34,ταχυτερη
34,χρεωσε
35,γραφειοκρατια
35,εξυπηρετηση
35,μεγαλη
35,ταχυτερη
36,εξυπηρετηση
36,ταχυτερη
36,ταχυτερη εξυπηρετηση
37,εξυπηρετηση
37,ταχυτερη
37,ταχυτερη εξυπηρετηση
38,μισθοδοτουμενος
38,προϊοντα
38,τραπεζα
38,τραπεζας
38,χρεωνετε
39,κανουμε
39,μηχανηματα
39,μικρες
39,μπορουμε
39,πληρωνουμε
39,συναλλαγες
40,γινουν
40,καταστημα
40,περικοπες
40,περισσοτερα
41,ανεκτικοι
41,δανεια
41,ευκολα
41,πελατες
41,σχετικα
41,χρονος
42,επικοινωνια
42,πελατες
42,συνεργαζομαι
42,συντομη
43,εξυπηρετηση
43,ληξιπροθεσμη
43,πελατες
43,πληρωνουμε
43,συστημα
43,τυπικοι
43,χρεωσεων
44,εξυπηρετηση
45,ανταποκριση
46,ηχητικα
46,μηνυματα
46,μπερδευουνε
47,εκκρεμοτητα
47,λογαριασμος
47,περιφερειακα
47,προηγουμενος
47,συναδελφος
47,συνδεσα
47,ταλαιπωρουμαι
47,τεσσερις
47,υπαρχει
